HP1BP3	OR1Q1
PRDM14	KRTAP6-1
GABRP	STT3A
CNTNAP3B	KCNE1
ACKR1	AMFR
TPSG1	MRPS12
MRPL30	PDGFD
KCNH6	CCT8L2
KRTAP19-3	NDUFS6
ZNF645	SFT2D3
CDK5R1	ZFP42
B3GALNT2	MCM10
GBD3	LINC00114
MPZ	COX6B1
KLK8	SNRPC
PVALB	PI4KAP2
C14orf21	PFC
PPP2R2C	ANXA3
CYHR1	SAFB
LDHAL6A	BOLA2B
CSMD1	ADSL
TSNARE1	SATB1
RAB15	CNOT2
ROBO3	LGALS4
GPR162	FBN3
LDHAL6A	TMEM259
USP26	RND2
RFTN1	MUC12
LINC00382	PLCD1
GHRHR	ZFAND4
SLC2A6	TCP11L1
RHAG	RPS14
FAM177A1	OR1L6
DAGLA	ATAD2B
NCR1	C11orf65
VPS37D	OR5J2
GPS1	PSEN1
GRM8	TAF1L
PAX7	CDC14B
GUCY2D	LINC00903
SPAG16	LRRC49
AAMP	TP53I11
IQUB	ZNF600
ACOT2	SPATS1
DDX11	RIT1
RHOA	STK3
MROH5	GAREM
ACVR1C	AP5S1
HCG14	GANC
TMEM255A	FAM151A
FAIM	GCM1
CLUH	CEACAM5
MFAP3	MIR146A
INF2	MFAP4
SRGAP2P2	LIPH
BFSP2	U2AF1L4
COPRS	FPGT
RBM6	TIMM23B
POLD4	VPS37B
ZNF587	CASD1
HMGB1L1	ING5
FMO4	CEBPB
UBE2QL1	MAGEA12
ZNF268	BCAM
OR2Z1	FBXL19
SDE2	ZNF708
RPS20	MOV10
OAF	RHAG
FNBP1	OR5M10
RFPL4A	RAMP2
SDHD	CHRNA6
INO80	RBM24
RGS7BP	PDLIM7
BAMBI	BMP4
OR10J3	GPHA2
TMEM41B	OSGIN1
PHKG1	WASH6P
CST3	MEG3
DMRTC1B	SCNN1D
UGT1A3	PLEKHA5
RPL35	ZDHHC8
SEMA5A	ZKSCAN8
LINC00358	KCNK17
GATM	SFRS8
PDE9A	PLA2G4C
VCY1B	LINC00961
MRI1	TCEAL6
SPEN	TMEM150C
SLC4A10	FAM213B
OR8G2	DUSP4
MRX51	MTERF
GOLGA6B	LRRC48
SH3TC2	TRIM49
CLNS1A	MED1
MAPKBP1	SLC6A13
LDHA	CRAMP1L
FOXD4L3	OTUD1
AMPH	PRDM6
MCM3	SDSL
ATP5S	TTC12
OR2AJ1	CYP26C1
CELSR1	CD8B
PPIA	RTFDC1
APOBEC3D	HPT
GPR68	RSL24D1
CCND3	SLC2A3
C11orf52	MRX61
MUC19	XPNPEP3
SNX9	RPL39
LINC00616	C17orf85
HIST1H3B	PIP5K1B
KRT28	SEPP1
COL27A1	CAMP
OR5A2	RBM46
SYT10	PHRF1
ZNF658B	BEX4
DHRS7	NEDD4
CDH23	C1orf50
FBLN5	PIK3CB
SLC7A14	HLA-DRB4
IL21R	ACSS2
NEDD8-MDP1	SRSF10
GPR79	DNAJA2
CCDC33	ABCG5
ARSI	BRPF1
ATL2	MKS1
WHSC2	PTCD3
AK9	CST11
MAN2B1	PMPCA
GRIN2B	MAOB
ARID3A	DGKG
ACYP1	LRRC16A
TIRAP	TRNAV1
SUMF2	RNF207
CNP	C1orf68
HCG23	KIAA1407
ADAM8	ZPBP
AMPH	TFAP2A
SPG18	ME3
ZBTB7A	STK31
RAP1GDS1	CORD1
SYNCRIP	OLFM1
DCAF12L2	FAM49B
IARS2	FAM192A
MGAT5B	PVRL4
ARHGAP35	FOXH1
UGT2B7	OSBPL8
GPSM3	GPR176
APOC2	SCPEP1
FEB1	LILRB5
IPO9	OR4F17
RAB11FIP4	BSN
SCFD2	STRA8
SNX3	RCC1
TPR	LSM5
KCNH3	ADAM20
WHAMM	MAPT
FBXO34	EXT2
SPZ1	CDC14A
C12orf65	KIAA1377
TCF25	R3HDM4
DEGS2	CHMP3
CST4	INVS
TUSC3	PPP1R3C
ZNF423	OR5K3
OR2T35	CCRL2
MSBP1	C9orf106
RAB15	CT45A5
OR6T1	SCAMP2
GRHPR	PDCL
L3HYPDH	LRRC32
ARF4	WARS2
ATAD3C	CAMK4
B3GAT3	ATXN10
BFSP2	ANGPTL6
PRCD	TMCO6
TNNT3	TCP10
ARSD	SIRT6
OPA1	TMED8
CBR3	ITM2A
SLC7A6OS	CALML4
ZNF529	CHD6
NPM1	CORO1C
EDA2R	FAM151A
RPL36A	ADSS
SIP1	CYP4F12
LINC00237	LINC00221
TAF6	ZNF33B
DNAH10	RBCK1
MOB2	USP18
LRRC42	UPK1A
SNX32	RALGPS2
CAST	CHIT1
SCA9	SRGAP2C
PODXL	NDUFB2
CCDC85C	NFYA
ANP32D	SEMA4B
CYB5D1	NAGK
JADE2	USP17L28
VWA5A	GPR18
SERPINB12	ZNF700
ZNF254	GPX5
FRMD4B	KCNJ3
SEMA7A	CLCF1
RBMXL2	OPN1LW
DENND2C	SEMA5A
GUCA1B	DCAF12L2
LINC00616	CLIC4
GATC	CXorf56
KATNAL1	CHRNB1
CCNDBP1	CDK1
GJB3	C5orf30
TCP11L1	FBXW5
POLDIP3	ANKRD55
DAAM2	HSPA9
TEX36	SAG
ZBTB7C	SVOPL
EYA2	TASP1
OSBPL2	NOB1
PIAS3	ZNF767
PDXP	CYHR1
ADPRHL2	DCHS2
GK	PROK1
VRK1	RACGAP1
EDEM2	BRE
SULT1A4	DTX3L
ACMSD	SKIP
MAF	PCDHB11
ST3	HRD
PCDHGB2	WSB1
GLIPR1L2	VEZT
NTRK1	GLTSCR1L
MBL2	BDH1
PRKCB1	PDE3A
EIF2B1	APMAP
FAM178B	KRAS
IFNA4	SNORD81
LINC00116	SNX30
TTLL10	CSF2RA
BZW2	SLC4A2
NISCH	CARF
CA5A	MNT
SMTNL2	BCL2L12
UGT2B10	KRT1
TRAJ45	EIF2AK3
ZSCAN23	DPH7
F11	NDN
ANKFY1	RHBDD1
TMEM194A	COL15A1
CYBB	OR6C68
SEMA3B	ASIC4
ZBTB45	HYDIN
SFT2D3	TEX12
MYH7	SDK2
CSGALNACT2	GIMAP6
OR2H1	CDK1
SNORA41	GOLGA8J
LCK	KRTAP5-3
SPRR1B	HABP2
PBX2P1	DMRTC2
TSSC1	CCDC66
HPDL	TMEM37
RAB11FIP4	KCNIP2
SCUBE2	GALK2
CARS2	ABO
NCS1	CLEC18C
ZNF280C	MT-ND4
NEU1	BCAR3
YTHDF3	SPINT2
PYCRL	STIP1
LINC00279	ZSWIM1
PER1	RNASE3
CDK12	TFR2
PRDX4	GPSM1
AGTPBP1	PTPRK
BANK1	FHL2
DSP	AKAP8L
SMUG1	CLEC4D
FKBPL	WFIKKN2
RNASE9	WDFY3
KPNA4	LINC00598
GOLPH3	FAXDC2
TMEM59L	HIST2H3C
LECT2	CD79B
EIF3H	BCMO1
UBA5	AFAP1L1
ZNF420	ASTN1
TRNAA1	BAIAP2
WASF3	TRPC7
PPP1R1A	ABCD4
F11	PLEKHF2
GDPD1	LRRC72
RNASEK	CT60
LINC00689	CHERP
PSMD12	DHX8
LINC00614	HSDL2
GLRX2	AOC3
CDKL3	HTN1
PLAC8	ZSWIM3
CDK11A	PTCHD2
BEND2	ZCCHC9
STX1B	METTL23
SYCP2L	PLXNA4
CYP3A	TYK2
C9orf40	LINC00701
LSG1	LBX1
STRIP2	COPB1
OR2K2	ENOX1
KLF8	POMZP3
RPE65	IDDM3
DUX4	MYCBPAP
SRP72	GLTSCR2
ELK4	ATR
OTOP2	LINC00376
CBWD2	ZNF259
ATP5J	NSUN6
RER1	KIAA0753
RASGRP4	CCDC65
SOX1	TICAM2
TCTEX1D2	RSS
TMEM65	GIT1
CCNF	DCAF13
LAPTM5	NSMCE1
PKIA	VPS35
DYNLL2	GTF2F2
MIR146B	AKR1B10
CHD6	PITX3
RNF167	TRIO
RNPC3	ZFP30
NXF4	MIR100
UBXN6	AGR2
FGFBP1	DACT2
LINC00838	FAM21C
OR2L2	GML
BMP10	UCK2
MYZAP	TMEM174
KRTAP20-2	PHF3
GRIN3A	USP9X
GCFC2	BUB1B
PTCH	PEX7
ANKRD57	GSKIP
FAM193B	OR5L1
MRX18	CXCL13
OPLAH	USP49
LAMA2	EDARADD
PIR	DERL2
OR2T27	LRRK1
MC1R	ADCK3
WFIKKN1	SIAH3
ARHGAP39	PSCA
KLHL36	EMID1
MRPS16	CT83
BRINP2	KIAA1958
OR51B4	WFDC2
GOLPH3L	MALL
HAO1	BAI3
PI4K2A	TRAJ57
FADS6	GSTCD
PWP2	MCM4
SEPT11	C1orf123
TGFB2	OR6B3
BAK1	CARD16
FAM214B	KRT33A
UBR7	SATB1
RPL27	FCER1A
TINAGL1	RSS
SLC6A4	CABYR
MNT	CAPN1
PCYT1B	RYR1
RBM3	TSPAN10
GPATCH11	ZNF629
ERICH3	ZNF786
WIPF2	OR2T10
SLC25A25	LRCH4
KHK	ZNF516
RPSAP47	CCDC167
MARCH1	HIST2H2AA3
LINC00870	LINC00115
ZFP90	C17orf75
RFXAP	SNCA
MTMR1	ABCA8
RPS4X	GOLGB1
LINC00659	HHAT
OR4N2	PLCXD2
COL4A4	VIMP
OR4D10	HEATR4
BARHL1	PPP1R3E
SLC15A2	GANAB
MXRA8	GLI2
P2RX7	MTHFR
CCT8L2	CDC23
CCL24	TSG101
SRMS	FGS2
GYPA	LINC00936
VTRNA2-1	TIMM17A
RIOK3	NLE1
FAF1	TTLL4
LINC00944	EIF1AD
ORC3L	CACNA1B
USP27X	PGM2L1
SPRR2E	RNF166
RMI1	LINC00634
GPBP1	WBSCR22
FAM84A	HNRNPA0
NKAPL	C11orf68
PCDHB15	ARSK
TRPM8	DTX1
SNORD68	CNOT11
PARD6A	GNPTG
CDK11A	ADAP1
CCDC96	CCER1
ATP6V1C2	UBXN6
OPN1SW	TOR1A
GRIA2	KMT2D
COL5A1	COL5A3
PPL	IL36B
LRRC17	MLH3
MYH16	CLIC3
DDHD1	SIGLEC16
SENP1	ZNF774
P2RX2	WDR12
NBEAL2	OR5F1
EIF2B3	TTC33
INADL	TREML1
GNMT	PFDN2
CXXC1	MYH16
KRTAP17-1	THAP9
OR1F12	CPEB2
ELANE	PFKFB2
TJP3	MCHR2
CRYGS	RHOBTB2
LTA	SCGB1A1
CD82	CTCF
NCBP2L	GIGYF2
PIK3CD	COPE
ZMPSTE24	CYP4V2
GPR162	SEMA7A
TUBA8	DHRS11
C16orf70	TP53AIP1
MIER3	YIPF4
ZNF709	MOV10
LINC01066	MMRN2
ABCF1	AMACR
IRAK1BP1	JMJD7
ZBTB45	GIPC3
WDR44	CYFIP2
SMC2	NFS1
NUDCD3	GRB14
RCOR2	MCOLN2
BRPF1	TASP1
SNTB1	MRPL54
OR2AG1	OR2T3
CALR	MRPL48
INIP	OR13J1
FAM129A	KIF1B
MALL	PKIB
FZD5	PFDN6
FAHD1	SEMA7A
OPRK1	ZBTB17
POU5F1	IPO4
WNK3	CGB7
SKA1	OR5K3
NKX2-1	STOX1
GHSR	HCG18
CASC1	DPH3
SYCP2L	RTCD1
PBXIP1	NPPC
OR2V2	SLC25A25
PTCHD2	CYP3A4
DLEU1	NAP1L3
RSS	TRIM69
RPE65	SHROOM1
LTK	UFD1L
LINC01077	BICD2
C11orf45	OR5C1
TRAJ17	TNFRSF10C
LINC00305	NCL
WDSUB1	SCN3B
CNDP1	AQP9
AUTS2	LINC00845
RBMX	TTYH2
ZSCAN26	DMGDH
ZNF593	SNORD29
SNX7	SP4
TCHH	PROKR1
TFF3	OR10V1
EIF2D	TYW1
NT5C1A	TACSTD2
MUC16	ADM
KIF3B	SNX6
TSPY2	NTNG1
MYST3	SUPT16H
ZSCAN1	STX18
HIST1H1B	RPUSD1
MEIS3P2	PAX7
LINC00032	PMP22
RP29	DEFB132
CCDC25	DCTN4
SRSF3	MRPL16
PRKACB	DDX60
TCEAL6	SLC30A8
MBNL1	LINC00474
SPTLC2	PPAT
CCDC150	LY6G5B
FFAR3	PKIA
OR2S2	ACTR1B
PIPOX	GPR171
FLYWCH2	USB1
STAT4	ARHGAP40
WDR88	EDC3
ZKSCAN2	NUB1
GABRP	FKRP
DPF2	MYOCD
RABIF	LACTB
LPGAT1	TCERG1L
ARHGEF10L	PPP2R5E
SNORD107	ATL2
ACTN4	ERBB2IP
TSTA3	S100A3
KIF3B	RPUSD3
LINC00989	LINC00954
RFC3	GPR156
VWA5A	DNER
ACER3	DDIT3
SLC18A3	PCGF6
TTC1	CLYBL
NKD2	AGPAT5
TMEM239	SNRPA1
OR5K1	DOPEY2
KHDRBS3	TMEM86A
COPS8	RRP9
HDAC9	HNRNPU
NAA40	STEAP3
ZNF560	TCTEX1D4
SNORD67	CHAMP1
CFH	ZNF658B
SNTG1	PDE6G
CNNM4	MEPCE
LIPE	ZFYVE9
PEX10	LRFN4
ZNF418	PPIL3
TET3	ITGA11
CER1	SLC6A17
SPAG1	OR2L13
HSDL1	PRLH
CDCA4	ABCA6
MAGEA4	OR2M2
ITM2C	CDH26
ZNF629	PHBP5
BASP1	DAZ3
TBL1Y	ZNF763
TTC23	LINC01047
GPRIN1	SYTL3
SYNJ2BP-COX16	GRAMD2
LAMTOR1	GAPVD1
THOC4	ZNF660
CACYBP	OR11H7
CYP7A1	SFTPC
LLGL1	NUP133
EIF2B4	EARS2
PDE6G	AZF1
GPR174	ACAN
TMEM223	LINC00866
MAP3K19	FCGBP
ZNF623	RRP1
OR2K2	ACYP2
PRNP	HIST2H2BC
ZNF655	HIST1H1T
TAS1R2	JPH4
CCR9	APCDD1
ROBO4	CARKD
PBX4	FZD2
LINC00900	MLF1
PRR11	TBC1D28
NLGN4X	APBB2
GNPTAB	S11
DLX1	ISL2
SLC25A35	SAMD3
FRA10AC1	TRNAU1
OSBPL11	OTUB2
CD163	ALCAM
AOC3	IFI27L2
PNOC	AMOTL2
DARS2	POLR2I
LOC101927302	LETM2
CKAP2L	KRTAP4-5
LINC00623	ZNF341
DCAF7	AZF1
MYPOP	ZNF528
FEB6	ENSA
DLX4	MPL
MTMR6	MHS6
LINC00517	TMC2
HSD17B6	BRCA3
NAGPA	RNF14
IARS	PGA3
PIAS3	CRELD1
ARL8A	TST
TGFBI	PKD2
POFUT1	S1PR1
BAX	SLC17A3
GALNT1	CBWD5
SMOC2	PAK3
HJURP	KLK12
PON1	NIFK
TRAJ48	GRHL2
SAMD11	FNTB
ZNF879	DNAAF1
LBP	UBE2R2
CYP19A1	DBN1
FLT4	SEPW1
LINC00644	PKLR
NUP210	WDR20
GDPD5	PCSK5
RPH3A	MPZL2
CCDC30	TPRG1L
DEFB127	ENDOV
OR5J2	NCOA7
MEIG1	PPME1
SND1	LHX3
GIT1	TRAJ6
EVA1A	UGGT2
QTRT1	BLNK
TOP1	C1orf50
KLF17	MIR146A
LINS	CLDN5
USP18	A4GNT
TSPAN9	CT45A3
PTCD3	ARID5B
OR8H3	SMARCE1
ACAP2	MAPKAPK5
CLCNKA	STARD8
ALF	FAM125B
ZNF160	RPL36A-HNRNPH2
TMEM132E	SRL
ZMYM1	CHR
DUOXA2	FBXW5
CST5	C15orf63
MAPRE3	UBE2D1
RFX4	TBX10
MIR449A	TSG101
AGO1	EIF2AK1
CIDEB	PPIC
PGR	ZBTB40
ARHGEF12	TTLL4
DUSP2	IL1A
COX18	ZCCHC12
LMLN	CASP8AP2
ACTG1	SIGIRR
GRIN2C	SDE2
SBNO1	LINC00559
MAGEA1	IKBKG
MINK1	CYR61
PSORS6	STC1
PPP2R3C	COPE
LINC00703	MRX51
DBT	FOXO6
INTS4	SLC24A1
ANO4	ORC3
CRYGD	EZH1
SYPL1	EMC4
MFAP3	IGBP1
ATP5J2	DKC1
VASN	PPIAL4A
PSMG3	GTPBP10
CDIP1	YWHAZ
FSHR	VPS53
PALB2	COMP
MRPS36	EIF4H
HOXC4	C9orf64
RPL10L	LINC00667
C6orf48	NDE1
PXK	DDEF2
CANT1	RBM23
OVOL2	ABCA8
POLR2B	TIPRL
BAG3	PMPS
POLR2E	HPCAL1
CAMSAP2	PEX2
MICALL1	NKTR
ASB13	ERO1LB
MAP7D1	MOSPD3
SH2D6	FOXA3
NEIL1	EBF2
VWC2	GPR61
ANAPC4	MEF2C
MAGEA6	MIR122
MUCL1	CCT8L1
CDKN2AIP	DAGLA
TBCB	DYX1C1
OR10G7	MUC19
XPNPEP3	OR4D10
AP1S3	RALGAPA1
KCTD16	LRRC15
IFNA21	CCK
FUCA2	NDUFB1
CHM	NRK
NSUN3	HUWE1
LINGO2	LINC00353
SRPK1	GDF5
TAOK3	AKAP3
UBAP2L	FAM21A
BRMS1L	CCNB1
MGST3	LPHN2
CSF2RA	NFKBIL1
URM1	RECQL5
STK24	GPR31
ROR2	KIF18B
SNORD12	SNORD46
ULK1	FAM46A
VTA1	ESRRB
XXYLT1	LSM14B
PIDD	SFXN3
KCTD7	LINC00545
CEBPD	MTOR
KIR2DL5A	HS6ST1
INO80B	LINC00968
RBM41	C18orf55
KIAA0930	SFTA2
CLIC6	VSIG8
SAT2	RMI2
CYP27A1	PILRB
OR2F2	TMEM209
RD3L	PIK3C2A
TCP11L2	LINC00514
ALPK2	LINC01006
SUPT20HL2	SHPK
PTPN3	UNCX
CD6	L3MBTL4
FAM111A	TRAJ11
EGFL8	ZHX1-C8orf76
HOOK1	LINC00446
PCDHGA11	SELT
ZNF563	OSBP
PHBP1	DUSP1
NXPE3	OR2AG1
ARHGAP10	CLDN5
ZHX3	TRIT1
ZIC1	CLK2
PLCB1	PKMYT1
DNAJC15	CXCL17
ARID5B	YBX2
ULBP1	RIMS3
BIVM-ERCC5	LINC00505
REG3A	ZNF211
NUAK1	MIR100
USP22	STK3
TMEM17	PCDHA4
TERC	CTR9
AP5M1	RGS12
RNASE1	ANKRD66
SPAG16	LSM6
POLR2H	CRIPT
DUSP26	AKAP11
HMGB4	SPEM1
F5	C4BPA
NLRP8	SFI1
MEIS1	SNF8
IKZF5	PCDHA2
SENP2	LINC00446
C1orf31	DEFB122
PIGK	PCIF1
GEMIN8	ENTPD5
PSMA5	NCAM2
TMEM184A	FAXDC2
MRC1	NEURL2
CCDC88C	MRGPRX2
GRIK5	ATG10
NGLY1	TTC38
ERMN	TBCB
ALDH4A1	LINC00365
PDE3A	TBL2
CIB2	EPS15
SCA25	CMSS1
PLCXD2	ABLIM2
TAPBP	LINC01020
PROCA1	ITIH3
RAB37	YIPF6
MPZ	THNSL2
CRBN	NES
PLEKHG4B	ZNF483
MAFG	RORC
CCBL2	CNPY4
TMEM116	RBFA
RASGRP1	TRUB1
NAA60	SFN
OPTN	TEX15
CCNB1IP1	NCKAP1L
GUK2	VSIG8
VENTX	GHRL
LINC00402	RPS3
MIR106A	MIR218-1
KIR2DS2	HAP1
OR10G7	CXorf38
POU4F1	MASP2
DIMT1L	TK2
PIK3R6	SALL2
TRIM49B	SPATS1
NEK7	GDPD2
HOXD1	CHRNA6
AGT	HSPA8
GADD45A	SREBF2
PIP5K1B	TEP1
NOS1AP	TCAIM
ZNF81	ITPRIPL1
OR56A3	GDF7
GSTM2	LINC00284
C10orf12	IER3IP1
HSPA8	PLCD3
GOLIM4	ELF2
ABCC9	USP1
HSPA14	FHOD3
CEP290	RBM33
SHC4	KEAP1
FTH1	ZBED4
SNORA81	SMARCE1
GTF2E2	SNCAIP
ZG16B	CTD
SNORD46	SOWAHC
PIGP	MIR383
PCNT	LZTS1
LINC00843	PAPOLB
OR4K13	ADCY5
CTD	PDLIM7
DES	TTC7B
MARCH8	USE1
AASDHPPT	RGL4
COX6B2	DDR2
OR1I1	HLA-DQB1
TPRX1	ADCY7
DMTF1	CCDC144NL
KRT85	C9orf156
LPAR5	ADORA3
OR52B2	FOSB
CDC42EP1	KIF24
ASIC1	FAM83D
TBX18	RASGEF1C
SCUBE2	OR5B12
KLK13	PPP1CB
SPAG6	GNAL
UBQLN4	CRCP
AMY2B	POTEM
ZNF564	SYT14
TRAJ43	C1orf35
RIF1	MED27
RP1L1	OR52B4
ADCY5	STOML1
GABARAPL1	PATL1
SNRPB	SLC3A1
FAM65A	AASDHPPT
UBA2	SHMT1
WDR13	RBM45
GCNT6	STRADA
SUMF2	QRSL1
NOC3L	AUTS2
PRKAR2B	ST3GAL1
CGB8	LINC00594
PNMT	KIAA0408
WDR88	GRID1
MEAF6	HSPB9
SEMA4G	COL24A1
UBE2V2	NOL6
MPHOSPH8	UCHL5
PPP2R3C	OTUB1
ZNF165	CCDC177
PANX1	SCA21
PTGS2	KIAA2026
AMZ2	LINC00913
DNALI1	RS1
NOS3	FAM96A
REXO4	OR7G3
WBS2	C4orf29
SPANXB1	NEU1
LIX1L	TMEM25
BPIFA3	IKZF4
KCNJ15	KIAA1324
GZMH	ACVR1
LINC00383	GLTP
HLA-DRB1	G6PC2
HMX1	RD3L
PHBP2	HPS1
RBM10	NUBP2
GSTA2	ZCCHC8
FASLG	VPS4A
VOPP1	OR52D1
CTAG2	FHDC1
YY2	RGPD2
ZIC5	CDR2L
KLK6	PDE4A
NNMT	IL12RB2
C6orf48	COL8A1
CDC37	SEC11A
FAM184A	KLHDC3
DDC	NRK
POLR3E	TSEN54
ELP5	PSG3
PPP1R17	ITGAM
SPRY3	GADD45A
ARHGEF35	SLX1A
ABCA13	MYOM1
ARL4D	GALNT9
TGIF2LX	CSPP1
RAD50	PRKD3
TFAP2B	ATG2A
OCM	ZNF114
OR10J5	ESRRA
LINC01060	KLHL1
PSMC3	FFAR3
PPP2R5A	ZMAT3
DYNC2H1	OR13G1
ZCCHC24	FAT2
MC3R	FGF13
OR11L1	APC
SLC5A1	TTC18
GPR85	PDCL
KBTBD2	COQ3
TDP1	DDB2
WIPF2	PLS1
DPH7	CD274
CTRC	PEPD
NFE2L1	PSMB1
DLEU1	UBE2S
RPA2	COX11
PHAX	LRSAM1
VPS35	MSANTD4
NUDT1	GAS8
OR2G3	OSBPL3
UBL5	CLEC4F
CD82	COL16A1
CELA3A	HS3ST3B1
BOLL	MUC3A
PBDC1	CDH6
JRK	PARK12
SFSWAP	CCDC17
ARRDC1	NUP62
OR2B2	ADAMTS9
CRX	TENM2
ADD3	PDSS1
RC3H1	PNMT
RALGPS1	SV2B
MASP2	ANO9
CMAHP	LINC00159
TMF1	IGIP
CCRL2	PTPRN
FRAS1	REV1
TMC7	SLC5A11
NPM3	CLPP
UBE2QL1	LRP2BP
PRRT1	CALML6
TEAD3	CDC20
GTF2H2C	ATAD2B
WNT9A	CTCFL
NOL9	TRAJ13
CNOT2	MTG1
LANCL1	CYP19A1
OXCT2	PCDH11X
OR8G2	TP53BP1
CENPM	RPS17P5
LINC00675	SLCO1A2
TMED1	LGALS9C
CPA4	APOC4
MRPL24	FKBPL
HOXB2	KCNH7
ATP1B1	DCLRE1B
ISM1	LINC01048
SDCBP2	TNIK
DCR	LYG2
LCE3D	AGAP8
STAU2	NUP35
CPED1	ATAD1
ARHGAP22	GNG8
NM	KANSL3
ATAD3C	C9orf91
ATG4B	MRX57
HOXA3	PITPNM1
C15orf48	SZT2
TTC7A	WDR7
PEBP4	EDEM2
PDAP1	CPA2
TMEM17	TAGLN2
TAC1	EIF4EBP1
KRT6B	PLK5P
PEG10	HIST1H4K
MEF2A	OR2T35
C1orf86	URB1
DICER1	ASAP2
KCNQ4	SNRPA
DDB1	UNC5D
GPR64	NRP1
CAMKMT	CMTM8
PABPC1L2B	NEU3
SPRR2E	PCDH8
CSNK2A1P	CTSV
ABCA8	NOL7
OR10AG1	MIR181B2
CSMD1	NOP53
ANKRD27	RNF44
GSG2	NOL3
SF3B1	HNRNPUL2
ZNF671	OLFM4
PPT1	TPGS1
APOC4	ITGB1BP2
DNM1L	UROC1
TBL1Y	LINC00327
OR14A2	RBPMS
OR8D1	POTEJ
HSPBAP1	IL6R
RAB12	ARHGAP35
SRRT	MAGEE1
RASSF4	PDIA5
COL7A1	GPN3
IL12B	IDDM8
PSMB6	COPRS
JAK3	SLC10A1
POLR3B	PEX14
LAP3	RAC1
RBM48	YIPF7
KRTCAP3	ARHGAP20
LFNG	CCDC178
RPRM	UGT1A7
GTF2E1	MEOX1
TSNARE1	ILK
NUCB1	RPL8
C14orf2	TACC2
CYP2E1	TRAJ15
ZNF177	PLD2
MTX1	SUN5
HMGA2	OR9G4
ANO5	GTF2H4
SDHB	CD209
APOBEC4	C1orf26
NYX	CPSF1
ZNF496	CHPT1
VANGL2	ZNF182
IL1RAP	NRTN
KRTAP21-2	AMFR
SPN	EGFL7
ZNF865	DUS2L
AZI1	SNORD33
RAB37	FLNC
ACOT2	TEX22
CGREF1	VCPIP1
HSD11B2	THNSL1
CDS1	LINC00411
PRIMA1	CCDC28B
FBXL17	PLXNB2
DDX43	EAF2
LINC00254	GAST
ATP13A1	NIT2
MYL6	CLCN3
SNORD6	WTS
MBLAC2	SDR39U1
UGT2B10	CDKN2AIP
TPR	REPS2
TBPL1	PLCB2
ACVRL1	GTF2F1
SNORD111	ATAD2B
COL6A5	BPIFA1
SLFN13	KCTD13
PLIN3	TSC22D2
PTPN18	CD3Z
CSH2	ENKD1
GFM2	PABPC1L2B
PHBP14	TRNAU1
OR52W1	CRYBA2
ZNF253	APOL6
PRKD2	TRRAP
PRTFDC1	PPP1R13L
AK9	GUCY1A2
SYTL4	FXYD5
PUM2	NFASC
FOXK2	TMCC2
UROD	FBXW8
PCIF1	GPR6
CELA3B	MYADM
PLP1	C19orf12
LINC00693	SNORD17
SH2D6	TEX35
OR10AD1	ADH1A
MAGEB6	AP1M2
STK6	CASQ2
DPM1	OSBPL3
COPS2	MRPS6
MAGEA4	CUBN
MAP1B	SIRPA
EMG1	CASC4
TMEM196	LINC00368
NUDT15	DCAF11
KIR2DL3	ST3GAL1
ANGPT4	TNFRSF10B
KIR3DX1	EFS
EEPD1	KRT27
DHCR7	PFKM
FASTK	TIAF1
HIST1H4H	LZTS1
RPE65	SCUBE2
TMEM258	LDHAL6A
CPP	KLHL12
RAB28	TUSC7
CLDN23	CFAP20
SETDB1	IFIT1B
ECM2	LINC00853
ZNF667	UBE2Q2
POMT2	PLCB2
MT1M	HDAC2
B3GNTL1	CSNK1G3
MMGT1	USP43
DSCR3	CHGB
SLC12A7	HLA-DQB2
NFAT5	RNF31
DYDC1	TACC1
PRM3	TIMM21
UBP1	C20orf11
MYH8	TMEM147
ANK3	IDDM2
RUNX2	CHCHD8
TMEM240	SLX4IP
UGT2B7	LINC00349
ALDH3B1	CEP76
PAPPA2	ZNF814
SNUPN	ST6GALNAC2
KRT16	TMEM158
LRRC74	CSTF2T
HDAC5	PNCK
LINC00919	RBPJL
GPHN	GGT2
LINC00332	ZNF32
SNORD119	TOMM20L
LINC00698	TCP10L
AP1S1	SF3A1
OLIG2	ZNF28
KSR	RPS6KA3
DMKN	DAPK1
TSPAN15	BEX4
XRCC4	USH1G
STAG3	KDM4A
FLYWCH1	RNF157
IFI6	ABRA
ODF2	LINC00336
POFUT2	RSU1
ANKRD13D	SEMA3F
TRANK1	MYH7B
SNORD95	XRCC6BP1
MIPOL1	FAP
ADHFE1	LINC00604
VPS13C	SCA31
NDST2	MFSD7
SOD3	MED7
CYP4F2	HIF1A
NLGN1	THSD7B
NT5M	CYTH1
TRIM56	TREM1
SEPT3	IL17B
VCPKMT	GPR68
NUDT14	AUNIP
CD37	EFCAB11
PEX11B	MHS4
RNASEK	LGI3
GCNT3	RPF2
ARHGEF4	IDDM15
ATOH1	TXNDC12
DCAF5	LOXL1
LINC00637	OR5H1
TNK1	ALOXE3
ADRB2	SLC22A2
LINC00548	PCGF6
PARK10	CREBBP
CCL5	KIF5C
HAUS3	FBXL22
RASGRP2	PSMD9
HNRNPA2B1	CHDH
PLCD3	ENTPD5
CHMP6	LINC00961
NLRP7	MLXIP
RHOH	TMPRSS13
MRPL51	PBP
PTMS	DGCR14
